DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
50.5,5.902,145.146,24.131,2.477,13.727,0.701,18.533,17.162,2000,3.938,0.098,2.12
51,5.895,150.785,28.006,2.884,13.927,0.811,19.029,19.305,1955.824,3.924,0.049,2.1
51.5,5.895,155.732,31.508,3.259,14.091,0.909,18.66,20.851,1955.826,3.861,0.049,2.084
52,5.895,154.033,30.359,3.149,14.028,0.874,17.425,21.394,1955.826,3.629,0.244,2.074
52.5,5.895,169.844,40.371,4.755,14.686,1.022,16.477,20.181,2000.001,3.658,3.467,2.064
53,5.895,169.541,40.079,4.702,14.685,1.019,15.248,17.972,2000,3.77,19.336,2.072
53.5,5.898,169.768,40.038,4.666,14.715,1.026,13.974,15.16,1955.824,3.875,30.713,2.089
54,5.898,168.309,38.872,4.567,14.682,0.987,13.224,12.332,1730.914,3.791,39.893,2.095
54.5,5.898,160.731,33.333,3.888,14.451,0.853,12.696,10.682,1636.808,3.805,38.086,2.096
55,5.895,165.682,36.634,4.263,14.638,0.94,11.633,10.824,582.271,3.844,38.281,2.087
55.5,5.891,166.195,36.876,4.335,14.669,0.935,11.243,10.629,2000.043,3.951,35.107,2.085
56,5.902,157.681,31.251,3.636,14.341,0.802,11.467,10.239,1836.508,3.869,34.912,2.102
56.5,5.891,135.59,16.971,2.167,13.455,0.388,11.848,11.381,2000.005,3.465,36.377,2.142
57,5.891,137.413,18.026,2.352,13.542,0.4,12.789,14.56,1955.824,3.461,39.258,2.133
57.5,5.859,147.492,24.68,3.385,13.931,0.506,14.364,18.033,2000.001,3.43,40.82,2.099
58,5.867,149.641,26.062,3.578,14.018,0.534,14.961,19.697,1955.824,3.684,43.506,2.069
58.5,5.859,158.219,30.183,4.284,14.523,0.584,16.05,20.851,1955.826,3.664,41.455,2.068
59,5.863,164.683,33.897,4.657,14.835,0.694,17.476,21.832,1955.826,3.738,38.428,2.08
59.5,5.871,184.546,30.118,4.123,17.517,0.62,18.511,19.807,1955.826,3.861,36.23,2.101
60,5.867,186.331,31.247,4.209,17.591,0.66,18.924,19.375,1955.826,3.707,38.574,2.11
60.5,5.883,190.721,34.024,4.51,17.774,0.737,19.138,20.65,1955.826,3.58,42.139,2.099
61,5.895,191.975,34.57,4.585,17.854,0.748,18.719,22.149,1955.826,3.613,41.211,2.068
61.5,5.91,182.661,27.854,3.957,17.56,0.538,18.142,22.714,2000.001,3.697,40.625,2.078
62,5.91,156.055,4.39,2.34,17.203,-0.34,17.775,21.876,2000,3.926,36.084,2.106
62.5,5.902,157.206,4.954,2.417,17.27,-0.328,17.691,21.099,1955.824,3.857,36.377,2.154
63,5.902,175.246,15.961,3.432,18.068,0.02,17.189,21.182,2000.001,3.865,37.207,2.135
63.5,5.918,212.148,49.607,5.197,18.437,1.415,16.003,18.47,2000,3.793,40.283,2.102
64,5.93,218.102,53.858,5.687,18.63,1.525,14.378,15.627,2000,3.633,42.92,2.052
64.5,5.922,222.955,56.744,6.016,18.853,1.601,12.621,12.807,28.702,3.682,41.65,2.045
65,5.93,230.055,61.889,6.559,19.075,1.747,11.779,10.523,20.456,3.699,41.797,2.048
65.5,5.922,200.865,44.503,5.187,17.736,1.14,11.198,9.749,22.522,3.758,39.111,2.066
66,5.926,189.674,38.519,4.602,17.145,0.959,10.409,9.96,53.597,3.604,40.137,2.084
66.5,5.934,191.698,39.993,4.856,17.208,0.976,9.753,10.131,43.523,3.549,43.408,2.089
67,5.926,194.598,42.144,5.168,17.293,1.016,8.913,9.661,12.966,3.312,47.656,2.074
67.5,5.926,192.149,40.896,5.064,17.157,0.974,8.045,8.935,11.226,3.328,48.779,2.039
68,5.93,197.695,45.19,5.467,17.299,1.108,7.56,8.002,17.385,3.34,43.799,2.028
68.5,5.922,186.942,37.81,4.635,16.916,0.912,7.026,7.065,12.229,3.566,41.211,2.073
69,5.934,160.963,31.875,4.262,14.642,0.681,6.458,6.262,16.85,3.654,39.307,2.123
69.5,5.953,187.365,57.627,9.109,14.716,0.885,5.91,5.634,8.942,3.57,41.455,2.138
70,5.992,190.71,59.994,9.466,14.827,0.926,5.441,5.183,9.785,3.43,42.627,2.095
70.5,5.992,192.008,61.49,9.667,14.805,0.958,5.115,4.8,6.974,3.213,47.363,2.054
71,5.996,188.316,59.542,9.488,14.607,0.896,5.026,4.607,6.257,3.014,47.803,2.035
71.5,5.992,191.493,62.453,9.815,14.637,0.973,5.164,4.737,6.142,2.973,50.244,2.037
72,5.973,186.164,59.607,9.482,14.355,0.901,5.403,5.315,6.296,2.891,48.877,2.052
72.5,5.957,179.362,55.581,9.051,14.04,0.788,5.611,6.156,3.562,2.895,49.463,2.077
73,5.965,160.591,67.782,10.347,10.527,1.132,5.799,6.563,9.659,2.838,49.121,2.096
73.5,5.953,155.714,65.206,10.078,10.266,1.059,6.046,6.514,15.914,2.816,42.285,2.109
74,5.906,150.336,62.06,9.665,10.013,0.989,6.305,6.478,99.787,2.945,34.033,2.14
74.5,5.863,151.772,63.516,9.748,10.011,1.048,6.388,6.547,12.277,3.365,26.513,2.215
75,5.867,133.135,59.998,8.867,8.296,1.074,6.245,6.289,11.821,3.236,30.127,2.33
75.5,5.914,132.309,59.963,8.836,8.206,1.08,5.915,5.711,31.468,3.062,37.012,2.377
76,5.984,129.357,58.396,8.69,8.049,1.031,5.668,5.235,32.486,2.748,40.039,2.311
76.5,6.008,128.363,57.915,8.614,7.991,1.023,5.639,5.072,16.041,2.773,39.258,2.244
77,6.055,128.095,58.343,8.636,7.912,1.041,5.664,5.193,7.647,2.807,39.844,2.208
77.5,6.105,137.144,65.503,9.349,8.126,1.255,5.533,5.61,33.204,2.734,42.432,2.19
78,6.102,137.868,66.417,9.425,8.105,1.286,5.143,5.944,48.817,2.707,47.363,2.149
78.5,6.074,147.436,73.225,10.523,8.418,1.385,4.622,5.656,11.395,2.645,47.461,2.122
79,6.012,142.759,69.583,10.182,8.3,1.271,4.075,4.759,6.135,2.766,41.064,2.109
79.5,5.824,141.763,69.382,10.121,8.21,1.275,3.777,3.758,8.067,3,33.252,2.15
80,5.691,108.774,61.758,9.367,5.333,1.047,3.7,3.137,5.327,3.047,29.15,2.23
80.5,5.687,104.085,59.474,9.16,5.06,0.973,3.722,2.952,7.971,2.975,33.838,2.311
81,5.707,105.477,60.796,9.356,5.068,0.997,3.654,3.153,4.574,2.777,42.92,2.3
81.5,5.836,129.7,80.07,13.192,5.63,1.098,3.457,3.508,4.321,2.332,52.198,2.208
82,6.035,144.776,94.925,18.543,5.655,0.585,3.2,3.671,6.031,2.113,57.569,2.092
82.5,6.047,142.326,93.296,18.446,5.561,0.52,3.04,3.527,8.85,1.94,51.416,1.98
83,5.937,141.969,93.358,18.444,5.514,0.524,3.073,3.326,8.089,2.119,43.261,1.932
83.5,5.73,133.017,88.331,16.9,5.069,0.632,3.225,3.203,4.673,2.371,37.549,1.954
84,5.59,113.609,71.349,11.117,4.794,1.136,3.354,3.194,3.718,2.648,41.26,2.04
84.5,5.605,110.408,69.246,10.747,4.669,1.113,3.339,3.167,4.183,2.68,49.073,2.096
85,5.719,105.966,66.221,10.284,4.508,1.063,3.198,3.111,4.954,2.674,53.272,2.101
85.5,5.93,121.184,77.942,10.47,4.905,1.655,3.02,3.027,5.62,2.588,50.293,2.08
86,6.074,113.449,72.788,9.554,4.612,1.601,2.898,2.961,3.979,2.607,47.559,2.074
86.5,6.199,111.198,71.343,9.384,4.521,1.564,2.874,2.944,3.989,2.658,50.195,2.076
87,6.289,115.273,74.368,9.658,4.64,1.661,2.917,2.976,3.622,2.727,51.611,2.074
87.5,6.32,115.151,74.671,9.566,4.592,1.7,3.007,3.087,3.158,2.709,50.488,2.081
88,6.324,120.543,78.647,9.898,4.752,1.834,3.142,3.237,3.242,2.684,47.461,2.095
88.5,6.324,121.327,79.215,9.86,4.777,1.875,3.346,3.39,3.25,2.729,46.728,2.102
89,6.32,125.876,82.214,10.264,4.953,1.938,3.637,3.675,2.924,2.762,49.902,2.116
89.5,6.324,116.804,76.289,9.679,4.596,1.76,3.981,4.169,3.963,2.813,47.217,2.127
90,6.309,115.602,75.584,9.606,4.539,1.74,4.378,4.824,4.557,3.004,51.856,2.149
90.5,6.234,113.282,73.997,9.45,4.456,1.692,4.766,5.604,8.188,3.127,49.414,2.167
91,6.07,99.313,60.842,8.337,4.364,1.251,5.11,6.404,28.49,3.17,47.266,2.184
91.5,5.828,96.801,58.876,8.059,4.302,1.213,5.553,6.663,86.835,3.15,34.228,2.203
92,5.637,70.759,52.194,6.739,2.106,1.175,6.032,6.547,51.752,3.504,22.558,2.265
92.5,5.625,48.277,35.061,4.62,1.499,0.767,6.563,6.384,25.368,4.668,14.697,2.394
93,5.625,35.175,25.131,3.503,1.139,0.502,6.917,6.646,2.98,5.293,13.33,2.584
93.5,5.617,29.528,20.814,2.832,0.988,0.433,6.988,6.985,3.363,5.359,15.527,2.724
94,5.684,35.765,24.587,3.661,1.268,0.434,6.778,7.113,7.234,5.492,18.457,2.761
94.5,5.805,39.534,27.372,4.027,1.379,0.495,6.547,6.999,9.865,5.281,23.145,2.76
95,5.781,53.699,43.932,5.712,1.108,0.979,6.417,6.783,8.035,5.34,27.1,2.72
95.5,5.77,55.867,45.607,5.995,1.164,1.001,6.385,6.604,7.165,4.203,33.936,2.618
96,5.773,65.859,55.584,7.936,1.166,1.064,6.35,6.392,7.439,3.424,38.184,2.472
96.5,5.82,63.19,53.666,7.767,1.08,1.002,6.417,6.24,8.5,2.762,41.406,2.325
97,5.969,78.517,60.461,8.664,2.048,1.15,6.618,6.244,7.514,2.541,42.236,2.219
97.5,6.172,85.927,64.481,9.204,2.433,1.235,6.962,6.551,6.423,2.436,43.506,2.156
98,6.438,86.348,64.369,9.241,2.493,1.22,7.359,7.195,6.607,2.398,43.359,2.132
98.5,6.246,93.751,68.534,9.723,2.86,1.327,8.01,8.039,6.778,2.342,42.822,2.089
99,6.043,96.552,70.406,9.952,2.966,1.373,8.908,9.183,7.677,2.307,41.699,2.097
99.5,5.902,96.248,70.151,9.878,2.96,1.377,10.189,10.824,10.411,2.213,40.918,2.125
100,5.762,90.965,66.392,9.57,2.787,1.249,12.002,13.14,11.891,2.158,38.135,2.141
100.5,5.559,75.969,56.839,7.613,2.17,1.212,14.743,16.499,15.545,2.195,37.061,2.137
101,5.43,74.063,55.632,7.416,2.091,1.195,17.567,20.61,35.981,2.227,34.766,2.141
101.5,5.379,78.056,58.32,7.682,2.239,1.276,20.391,24.206,80.994,2.207,33.301,2.152
102,5.379,65.983,51.174,7.315,1.68,0.977,22.883,27.436,122.032,2.129,29.736,2.147
102.5,5.371,53.165,43.089,5.588,1.143,0.964,25.004,29.972,110.802,2.014,29.053,2.107
103,5.371,37.067,36.326,4.394,0.084,0.891,26.175,30.925,101.466,1.928,29.492,2.076
103.5,5.371,34.598,34.482,4.12,0.013,0.859,26.928,30.485,75.888,1.871,30.713,2.05
104,5.367,36.262,35.683,4.152,0.066,0.916,27.12,30.226,57.157,1.894,30.42,2.053
104.5,5.371,36.833,36.239,4.152,0.067,0.946,27.22,28.997,46.194,1.836,30.762,2.057
105,5.371,38.836,37.602,4.384,0.14,0.963,27.333,28.686,36.416,1.861,31.494,2.067
105.5,5.371,42.997,40.351,4.66,0.3,1.044,26.913,29.558,29.039,1.854,32.959,2.072
106,5.371,34.819,34.525,3.956,0.033,0.901,27.005,29.889,55.577,1.929,33.887,2.08
106.5,5.371,39.679,36.967,4.349,0.308,0.937,26.952,29.722,72.247,1.94,35.498,2.079
107,5.367,42.01,38.203,4.536,0.432,0.958,26.756,29.889,62.497,1.904,34.131,2.086
107.5,5.367,39.25,35.996,4.378,0.369,0.877,27.084,30.747,52.658,1.899,34.082,2.09
108,5.371,35.286,33.008,4.1,0.258,0.783,28.398,30.485,71.391,1.864,32.812,2.097
108.5,5.371,36.831,33.695,4.15,0.356,0.808,28.675,30.485,70.553,1.88,32.91,2.093
109,5.359,37.712,34.36,4.185,0.38,0.836,27.17,30.226,39.264,1.844,32.959,2.093
109.5,5.406,40.463,36.322,4.316,0.47,0.91,24.024,28.997,30.204,1.88,32.91,2.093
110,5.52,40.095,35.889,4.317,0.477,0.887,19.152,25.175,36.197,1.938,32.568,2.101
110.5,5.563,44.089,38.449,4.716,0.64,0.927,14.535,18.406,71.392,1.931,31.689,2.1
111,5.621,43.732,38.216,4.775,0.626,0.9,11.735,12.204,65.204,1.896,29.834,2.092
111.5,5.625,42.529,36.655,4.547,0.666,0.871,9.974,9.026,26.366,1.907,30.371,2.078
112,5.664,42.633,36.195,4.456,0.73,0.869,8.675,7.572,5.753,1.978,35.254,2.064
112.5,5.73,41.305,34.814,4.352,0.736,0.819,7.796,6.783,5.327,1.922,41.114,2.007
113,5.988,59.623,40.661,4.945,2.151,0.991,7.158,6.229,6.055,1.931,45.557,1.884
113.5,6.813,80.015,45.405,6.133,3.926,0.956,6.801,5.94,6.695,2.092,44.287,1.808
114,7.418,87.978,50.416,6.662,4.261,1.098,6.82,6.192,4.446,2.473,44.775,1.84
114.5,6.894,96.752,56.376,7.207,4.58,1.287,6.898,7.013,2.965,2.867,46.436,1.96
115,6.391,99.23,58.046,7.402,4.671,1.33,6.96,7.643,11.915,2.793,46.777,2.086
115.5,6.285,104.369,61.327,7.704,4.882,1.434,7.277,7.392,22.952,2.713,43.554,2.117
116,5.996,102.895,60.433,7.542,4.816,1.425,8.037,7.166,18.913,2.713,40.478,2.135
116.5,5.492,79.538,51.895,6.925,3.136,1.113,9.124,7.895,4.905,2.695,39.014,2.149
117,5.57,74.233,48.264,6.631,2.946,0.988,10.503,9.437,5.189,2.613,41.992,2.158
117.5,5.594,86.947,57.789,8.102,3.307,1.143,11.669,10.992,8.996,2.5,42.48,2.156
118,5.59,96.392,63.835,8.855,3.693,1.286,12.382,12.332,11.483,2.391,43.164,2.142
118.5,5.57,92.01,60.46,8.458,3.579,1.2,13.516,14.286,18.679,2.312,40.723,2.132
119,5.496,79.049,46.105,7.521,3.737,0.651,15.295,16.837,35.557,2.225,39.16,2.119
119.5,5.461,71.999,41.6,6.927,3.448,0.553,17.144,18.125,54.079,2.135,35.742,2.114
120,5.434,62.95,36.266,6.012,3.027,0.488,18.997,18.343,41.426,2.113,33.594,2.106
120.5,5.437,55.082,30.964,5.188,2.736,0.403,20.916,18.697,22.189,2.059,34.717,2.104
121,5.465,56.892,32.216,5.196,2.799,0.47,21.462,19.236,16.802,2.02,37.695,2.084
